(-4.194507154803295e-18-1.6870778726937527e-18j),(0+0j),(0+0j)
(-0.06993429050242829+2.998904241661193j),(1+0j),(0+0j)
(-0.06993429050243026-2.9989042416611946j),(0+0j),(1+0j)
(-0.10010507065765714+2.3731069439323322e-17j),(1+0j),(1+0j)
(-0.12997527664588215-3.999175798358834j),(0+0j),(2+0j)
(-0.1299752766458861+3.9991757983588294j),(2+0j),(0+0j)
(-0.1898685495114502+0.99780849590068j),(2+0j),(1+0j)
(-0.18986854951145052-0.9978084959006813j),(1+0j),(2+0j)
(-0.18998838754341602-2.999266760946451j),(0+0j),(3+0j)
(-0.1899883875434171+2.9992667609464516j),(3+0j),(0+0j)
(-0.2045959960225578+6.934898650716724e-20j),(2+0j),(2+0j)
(-0.22500000000000003+0j),(0+0j),(4+0j)
(-0.22500000000000003+0j),(4+0j),(0+0j)
(-0.24997243349105813+0.0013755389038765642j),(1+0j),(3+0j)
(-0.2499724334910584-0.001375538903876096j),(3+0j),(1+0j)
(-0.2850116124565831-2.9992667609464507j),(4+0j),(1+0j)
(-0.28501161245658346+2.999266760946451j),(1+0j),(4+0j)
(-0.30988206874342267+1.00331408516689j),(2+0j),(3+0j)
(-0.30988206874342367-1.003314085166891j),(3+0j),(2+0j)
(-0.339623166069735+7.834493547001098e-17j),(3+0j),(3+0j)
(-0.345052289863056-3.997800259454953j),(4+0j),(2+0j)
(-0.3450522898630565+3.997800259454956j),(2+0j),(4+0j)
(-0.40531509124269594+2.993398652394989j),(3+0j),(4+0j)
(-0.40531509124269716-2.993398652394981j),(4+0j),(3+0j)
(-0.555675767250051+2.854405829245691e-17j),(4+0j),(4+0j)
